Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
2236387,2200747,2016-05-22,9,EGGS,275.0,2,,,,,,,Quito,Pichincha,B,6,2157.0,2016,5,20,2,Sunday
1819304,1794356,2015-10-06,6,HARDWARE,1.0,0,,,,,,48.53,Quito,Pichincha,D,13,1568.0,2015,10,41,4,Tuesday
3005698,2952238,2017-07-19,43,PERSONAL CARE,199.0,6,,,,,,47.1,Esmeraldas,Esmeraldas,E,10,1328.0,2017,7,29,3,Wednesday
1985423,1958693,2016-01-08,17,FROZEN FOODS,71.0,0,,,,,,33.2,Quito,Pichincha,C,12,1148.0,2016,1,1,1,Friday
2501873,2459105,2016-10-14,8,FROZEN FOODS,184.0,5,,,,,,50.35,Quito,Pichincha,D,8,2827.0,2016,10,41,4,Friday
2896811,2848697,2017-05-22,39,BREAD/BAKERY,766.0,4,,,,,,50.81,Cuenca,Azuay,B,6,1294.0,2017,5,21,2,Monday
2914310,2866196,2017-06-01,3,HARDWARE,4.0,0,,,,,,48.32,Quito,Pichincha,D,8,3066.0,2017,6,22,2,Thursday
1965752,1939022,2015-12-28,15,DAIRY,426.0,1,,,,,,36.36,Ibarra,Imbabura,C,15,1623.0,2015,12,53,4,Monday
1818487,1793539,2015-10-06,32,"LIQUOR,WINE,BEER",5.0,0,,,,,,48.53,Guayaquil,Guayas,C,3,613.0,2015,10,41,4,Tuesday
2080210,2053480,2016-03-01,26,"LIQUOR,WINE,BEER",15.0,0,,,,,,34.39,Guayaquil,Guayas,D,10,590.0,2016,3,9,1,Tuesday
2260718,2225078,2016-06-05,40,LAWN AND GARDEN,0.0,0,,,,,,,Machala,El Oro,C,3,1304.0,2016,6,22,2,Sunday
2128121,2101391,2016-03-28,20,HOME APPLIANCES,0.0,0,,,,,,37.99,Quito,Pichincha,B,6,1150.0,2016,3,13,1,Monday
2567718,2523168,2016-11-19,54,LINGERIE,3.0,1,,,,,,,El Carmen,Manabi,C,3,894.0,2016,11,46,4,Saturday
1709284,1684336,2015-08-06,19,HOME AND KITCHEN II,15.0,0,,,,,,44.69,Guaranda,Bolivar,C,15,1176.0,2015,8,32,3,Thursday
1608889,1589287,2015-06-13,51,CLEANING,1861.0,5,,,,,,,Guayaquil,Guayas,A,17,1929.0,2015,6,24,2,Saturday
2911890,2863776,2017-05-31,12,BEVERAGES,1573.0,20,,,,,,48.29,Latacunga,Cotopaxi,C,15,1245.0,2017,5,22,2,Wednesday
2485265,2442497,2016-10-05,41,BEAUTY,5.0,0,,,,,,49.75,Machala,El Oro,D,4,1026.0,2016,10,40,4,Wednesday
1860548,1835600,2015-10-30,13,DAIRY,124.0,0,,,,,,46.6,Latacunga,Cotopaxi,C,15,755.0,2015,10,44,4,Friday
2289033,2253393,2016-06-21,35,LINGERIE,0.0,0,,,,,,48.95,Playas,Guayas,C,3,647.0,2016,6,25,2,Tuesday
2001244,1974514,2016-01-17,10,PERSONAL CARE,260.0,0,,,,,,,Quito,Pichincha,C,15,902.0,2016,1,2,1,Sunday
1683313,1658365,2015-07-22,4,HOME AND KITCHEN II,3.0,0,,,,,,49.27,Quito,Pichincha,D,9,1422.0,2015,7,30,3,Wednesday
2247002,2211362,2016-05-28,6,SEAFOOD,56.493,2,,,,,,,Quito,Pichincha,D,13,1919.0,2016,5,21,2,Saturday
2321804,2280818,2016-07-06,54,MAGAZINES,0.0,0,,,,,,47.37,El Carmen,Manabi,C,3,782.0,2016,7,27,3,Wednesday
2940970,2892856,2017-06-16,28,EGGS,253.0,3,,,,,,44.73,Guayaquil,Guayas,E,10,1135.0,2017,6,24,2,Friday
2748704,2702372,2017-03-01,33,BEAUTY,1.0,0,,,,,,53.82,Quevedo,Los Rios,C,3,1037.0,2017,3,9,1,Wednesday
2120432,2093702,2016-03-23,54,HOME APPLIANCES,0.0,0,,,,,,38.28,El Carmen,Manabi,C,3,808.0,2016,3,12,1,Wednesday
